Name of the food,image,calories,Personal Points,summary,The recipe Key
Breakfast Burritos,https://www.skinnytaste.com/wp-content/uploads/2019/03/Breakfast-Burritos-21.jpg,261 kcal,5,"These freezer breakfast burritos are stuffed with scrambled eggs, scallions, bell pepper, bacon, and cheese, making them a delicious, protein-packed way to start the day! Freeze them for meal prep so you can have them ready all week long.",AF FM HF KF MP Q
Crustless Pumpkin Pie,https://www.skinnytaste.com/wp-content/uploads/2024/09/Crustless-Pumpkin-Pies-10.jpg,124.5 kcal,2,"Skip the crust and make this easy gluten-free, dairy-free crustless pumpkin pie this fall for a cozy night when you crave a pumpkin treat or as a healthier alternative for Thanksgiving.",DF GF HF V
Red Curry Salmon,https://www.skinnytaste.com/wp-content/uploads/2024/09/One-Pan-Red-Curry-Salmon-11.jpg,349 kcal,6,"Thai-inspired Red Curry Salmon is simmered in an incredibly tasty coconut red curry sauce with bell peppers, garlic and onions.",DF GF HP
Apple Butter,https://www.skinnytaste.com/wp-content/uploads/2024/09/Apple-Butter-6.jpg,34 kcal,1,"This easy apple butter recipe simmers on the stove, made with apples, cinnamon, nutmeg, and allspice, it smells and tastes like fall!",DF GF KF V
Roasted Delicata Squash,https://www.skinnytaste.com/wp-content/uploads/2024/09/Roasted-Delicata-Squash-with-Toasted-Almond-Crumbs-9.jpg,177 kcal,4,"Roasted Delicata Squash with toasted almonds, sweetened with maple syrup and seasoned with sage and paprika, makes a perfect fall side dish.",DF GF V
Apple Bread,https://www.skinnytaste.com/wp-content/uploads/2014/09/Apple-Bread-3.jpg,124 kcal,4,"Moist cinnamon apple bread recipe made with applesauce, small chunks of fresh apples and walnuts in every bite. It’s so moist and delicious, you won’t believe it’s light!",V
Autumn Salad with Pears and Gorgonzola,https://www.skinnytaste.com/wp-content/uploads/2008/10/Autumn-Salad-with-Pears-and-Gorgonzola-4.jpg,175 kcal,5,"I love a good salad with lots of texture and flavors, and this Autumn Salad nails it. Sweet pears, honey Dijon dressing, crunchy pecans, and creamy gorgonzola cheese create a delicious fall dish that’s hard to resist.",GF LC Q V
Sesame Chicken,https://www.skinnytaste.com/wp-content/uploads/2024/09/Sesame-Chicken-13-1.jpg,513 kcal,9,"This lighter Sesame Chicken recipe features chicken breast bites in a sweet, savory, tangy, and slightly spicy sauce topped with sesame seeds and green onions.",DF FM GF HP
Bacon in the Oven,https://www.skinnytaste.com/wp-content/uploads/2024/09/Bacon3ways.png,60 kcal,2,"Whether you’re a fan of tender, crisp, or extra crispy bacon, this simple method of cooking bacon in the oven is easy. There’s no stovetop mess, and it frees up your stove for cooking other breakfast items!",DF GF HP KF LC Q W
Pumpkin Spice Latte,https://www.skinnytaste.com/wp-content/uploads/2010/10/Pumpkin-Spice-Latte-6.jpg,115 kcal,7,"Embrace all the cozy fall vibes with a homemade Pumpkin Spice Latte! This easy recipe tastes just like the original, but for a fraction of the cost.",DF GF V
Homemade Hamburger Helper,https://www.skinnytaste.com/wp-content/uploads/2024/09/Homemade-Hamburger-Helper-9.jpg,453 kcal,12,"This one-skillet, creamy Homemade Hamburger Helper is made with ground beef, macaroni and cheese – real ingredients you can feel good about feeding your family for dinner!",DF GF HP KF Q
Fried Brown Rice,https://www.skinnytaste.com/wp-content/uploads/2024/08/Brown-Fried-Rice-9.jpg,276 kcal,6,Fried Brown Rice is a healthy twist on classic fried rice with some extra hidden veggies to bulk it up. Just add your favorite protein to make it a meal!,DF GF HF Q V
Asian Grilled Chicken,https://www.skinnytaste.com/wp-content/uploads/2008/05/Asian-Grilled-Chicken-7.jpg,288.5 kcal,4,"This Asian Grilled Chicken recipe is the perfect excuse to grill or use your indoor grill pan, an easy high-protein dinner idea!",DF GF KF LC
Sweet Potato Salad,https://www.skinnytaste.com/wp-content/uploads/2024/08/Sweet-Potato-Avocado-Salad-16.jpg,290 kcal,8,"This healthy Sweet Potato Salad with avocado combines sweet, creamy, warm, and cold elements and can be enjoyed warm or cold. It’s a great vegetarian meal or side dish.",DF GF HF MP V W
Ratatouille,https://www.skinnytaste.com/wp-content/uploads/2024/08/Ratatouille-6-1.jpg,115 kcal,2,"Ratatouille is the perfect summer side dish for your favorite roasted chicken, grilled meats, or fish! It adds a burst of color and flavor to every meal.",DF GF MP V
Pretzel Crusted Chicken Tenders,https://www.skinnytaste.com/wp-content/uploads/2024/08/Pretzel-Chicken-Fingers-with-Honey-Mustard-13.jpg,267 kcal,4,"Craving something crispy, kid-friendly, and absolutely delicious? Make these easy Pretzel Crusted Chicken Tenders with honey mustard! Baked or Air Fryer!",AF DF FM GF HP KF
Lemon Vinaigrette,https://www.skinnytaste.com/wp-content/uploads/2024/07/Lemon-Viniagrette-5.jpg,123 kcal,5,"This is my go-to Lemon Vinaigrette recipe. I love it over any salad, from simple green salads, Cobb salad and even over roasted veggies. It’s bright, healthy, and can be made ahead.",DF GF LC MP Q V
Slow Cooker Beef Stew,https://www.skinnytaste.com/wp-content/uploads/2024/07/Slow-Cooker-Beef-Stew-7.jpg,356 kcal,7,Slow Cooker Beef Stew is the ultimate comfort food! It’s perfect for those crisp fall evenings or chilly winter days when you crave something hearty and satisfying.,DF GF HP KF MP SC
Deviled Egg Salad,https://www.skinnytaste.com/wp-content/uploads/2024/08/Lazy-Deviled-Egg-Salad-13.jpg,215 kcal,3,"This lazy Deviled Egg Salad takes a classic appetizer and turns it into a quick lunch! It has the same ingredients but no piping or filling. Simply mix it all together and serve it with a spoon, on toast or a rice cake.",AF GF HP LC MP V
Shrimp and Rice (Arroz Con Camarones),https://www.skinnytaste.com/wp-content/uploads/2024/08/Arroz-Con-Camarones-12.jpg,433 kcal,9,Costa Rican Inspired Shrimp and Rice (Arroz Con Camarones) is a traditional Costa Rican recipe that’s so easy and flavorful!,DF GF HP
Bruschetta Pasta Salad,https://www.skinnytaste.com/wp-content/uploads/2024/07/Bruschetta-Pasta-Salad-6.jpg,364 kcal,10,"Serve this delicious Bruschetta Pasta Salad at your next BBQ or summer party. It’s the perfect light summer dish loaded with in-season plum tomatoes, mozzarella, basil, and a drizzle of balsamic glaze.",MP Q V
Watermelon Feta Salad,https://www.skinnytaste.com/wp-content/uploads/2020/07/Watermelon-Feta-Salad-10.jpg,85 kcal,2,"This easy Watermelon Feta Salad, made with only four ingredients, is a summer staple at your next summer BBQ!",GF Q V
Coconut Popsicles,https://www.skinnytaste.com/wp-content/uploads/2009/06/Coconut-Pops_19.jpg,106 kcal,5,"These homemade coconut popsicles are rich, creamy, and super simple to make! They’re the perfect summertime refresher.",GF KF
Sheet Pan Shrimp with Corn and Tomatoes,https://www.skinnytaste.com/wp-content/uploads/2024/07/Old-Bay-Sheen-Pan-Shrimp-with-Corn-and-Tomatoes-5.jpg,295 kcal,3,"This Sheet Pan Shrimp with Corn and Tomatoes is the perfect one-pan summer dinner, with easy cleanup!",DF GF HP Q
